iter	RMSE
0	11.10780145
1	8.574536974
2	6.995686593
3	6.068857989
4	5.542289834
5	5.259569102
6	5.104527989
7	5.023242324
8	4.972209788
9	4.945890139
10	4.925337005
11	4.913282499
12	4.900654731
13	4.893400341
14	4.885117519
15	4.878070737
16	4.873320613
17	4.86848819
18	4.862907831
19	4.859355591
20	4.855129678
21	4.85174609
22	4.849102724
23	4.846646475
24	4.845098833
25	4.842987263
26	4.84035893
27	4.837926712
28	4.836224043
29	4.83505474
30	4.834190467
31	4.833437926
32	4.832549501
33	4.832112571
34	4.830854751
35	4.830507289
36	4.830048558
37	4.829631846
38	4.829348987
39	4.829006793
40	4.828291122
41	4.827022487
42	4.825874184
43	4.824441035
44	4.824328752
45	4.823845144
46	4.823791856
47	4.823604941
48	4.823407491
49	4.823009954
50	4.822950307
51	4.82277
52	4.822384867
53	4.82214173
54	4.821865993
55	4.821675073
56	4.820715517
57	4.820258225
58	4.819567746
59	4.81928419
60	4.818868503
61	4.817612112
62	4.817571392
63	4.816810751
64	4.81614232
65	4.815916002
66	4.815789601
67	4.81570056
68	4.815580994
69	4.815513636
70	4.814601636
71	4.814487423
72	4.814172892
73	4.814162492
74	4.814023916
75	4.813470278
76	4.813361589
77	4.813352684
78	4.813102568
79	4.813040306
80	4.813033703
81	4.812947476
82	4.812703326
83	4.812082293
84	4.81207561
85	4.811559454
86	4.811551392
87	4.81154498
88	4.81137873
89	4.811187751
90	4.811181546
91	4.811082271
92	4.811014887
93	4.81087445
94	4.81087272
95	4.810870508
96	4.810841801
97	4.810156864
98	4.810152967
99	4.810085191
100	4.809912343
101	4.809837232
102	4.809579822
103	4.809523945
104	4.809311827
105	4.80931012
106	4.809308255
107	4.809307082
108	4.809251027
109	4.809191124
110	4.809190044
111	4.809090338
112	4.808274015
113	4.808238037
114	4.808237504
115	4.808189357
116	4.807779578
117	4.807744984
118	4.807717645
119	4.807696203
120	4.80762196
121	4.806701655
122	4.806677478
123	4.8066545
124	4.806654158
125	4.806654053
126	4.806496395
127	4.806306008
128	4.806221858
129	4.806203968
130	4.805942999
131	4.805941426
132	4.805657422
133	4.805424849
134	4.805395701
135	4.805118979
136	4.805081867
137	4.804850036
138	4.804710887
139	4.804677286
140	4.804674894
141	4.804654793
142	4.804652929
143	4.804632944
144	4.804619635
145	4.804618826
146	4.8044935
147	4.804479738
148	4.804322543
149	4.804321958
150	4.804307958
151	4.804021999
152	4.803881608
153	4.803865536
154	4.803797321
155	4.803795939
156	4.803794919
157	4.803786873
158	4.803701235
159	4.803590941
160	4.803578507
161	4.803568389
162	4.803567888
163	4.803182906
164	4.803120362
165	4.802669213
166	4.802541895
167	4.802540118
168	4.802467028
169	4.802465817
170	4.802464983
171	4.802315627
172	4.802158477
173	4.801683291
174	4.801542733
175	4.801385049
176	4.801365582
177	4.801362628
178	4.801359856
179	4.801310179
180	4.801298482
181	4.801200988
182	4.801186675
183	4.801185916
184	4.801185054
185	4.801184416
186	4.801174962
187	4.801174626
188	4.801174061
189	4.801077619
190	4.801029948
191	4.801029798
192	4.801029538
193	4.801029377
194	4.801013609
195	4.801005849
196	4.801005687
197	4.801005511
198	4.800990231
199	4.800443718
