iter	Passed	Remaining
0	297	59280
1	511	50649
2	727	47776
3	946	46383
4	1162	45320
5	1382	44694
6	1593	43931
7	1815	43560
8	2032	43138
9	2241	42589
10	2457	42217
11	2672	41869
12	2889	41568
13	3111	41344
14	3325	41020
15	3540	40720
16	3756	40434
17	3977	40214
18	4194	39958
19	4403	39631
20	4623	39413
21	4837	39139
22	5050	38863
23	5269	38642
24	5476	38335
25	5691	38090
26	5901	37814
27	6119	37588
28	6326	37304
29	6542	37074
30	6756	36831
31	6970	36594
32	7182	36348
33	7389	36079
34	7601	35833
35	7817	35614
36	8028	35368
37	8244	35148
38	8456	34910
39	8672	34688
40	8889	34471
41	9103	34247
42	9314	34010
43	9532	33797
44	9749	33581
45	9969	33374
46	10179	33137
47	10392	32909
48	10605	32682
49	10815	32445
50	11025	32211
51	11236	31980
52	11442	31737
53	11656	31514
54	11869	31293
55	12079	31062
56	12330	30933
57	12557	30745
58	12789	30564
59	13016	30370
60	13225	30137
61	13451	29939
62	13691	29773
63	13913	29566
64	14124	29334
65	14337	29109
66	14543	28870
67	14760	28653
68	14973	28427
69	15182	28195
70	15388	27960
71	15598	27730
72	15807	27501
73	16020	27278
74	16226	27044
75	16443	26828
76	16659	26611
77	16872	26390
78	17089	26174
79	17295	25943
80	17504	25716
81	17713	25489
82	17923	25265
83	18130	25037
84	18342	24816
85	18550	24589
86	18759	24366
87	18971	24145
88	19187	23930
89	19401	23713
90	19631	23514
91	19866	23321
92	20080	23103
93	20300	22891
94	20504	22662
95	20707	22433
96	20920	22214
97	21144	22007
98	21376	21808
99	21596	21596
100	21808	21376
101	22016	21153
102	22236	20941
103	22441	20715
104	22642	20485
105	22850	20263
106	23056	20040
107	23271	19823
108	23473	19597
109	23680	19374
110	23890	19155
111	24092	18929
112	24292	18702
113	24501	18483
114	24730	18278
115	24940	18060
116	25146	17838
117	25348	17615
118	25552	17392
119	25756	17171
120	25958	16948
121	26160	16725
122	26369	16507
123	26583	16292
124	26790	16074
125	27000	15857
126	27204	15637
127	27418	15422
128	27628	15206
129	27842	14992
130	28068	14783
131	28285	14571
132	28503	14359
133	28735	14153
134	28937	13933
135	29157	13721
136	29382	13511
137	29589	13293
138	29801	13078
139	30005	12859
140	30203	12638
141	30401	12417
142	30604	12198
143	30806	11980
144	31005	11760
145	31209	11543
146	31419	11328
147	31639	11116
148	31846	10900
149	32048	10682
150	32246	10464
151	32443	10245
152	32641	10027
153	32844	9810
154	33053	9596
155	33259	9380
156	33470	9167
157	33677	8952
158	33877	8735
159	34087	8521
160	34313	8311
161	34530	8099
162	34740	7885
163	34948	7671
164	35175	7461
165	35416	7253
166	35646	7043
167	35889	6836
168	36158	6632
169	36410	6425
170	36641	6213
171	36843	5997
172	37049	5782
173	37258	5567
174	37472	5353
175	37687	5139
176	37886	4923
177	38090	4707
178	38290	4492
179	38489	4276
180	38688	4061
181	38885	3845
182	39086	3630
183	39287	3416
184	39485	3201
185	39683	2986
186	39880	2772
187	40079	2558
188	40288	2344
189	40485	2130
190	40695	1917
191	40899	1704
192	41106	1490
193	41304	1277
194	41503	1064
195	41700	851
196	41898	638
197	42096	425
198	42293	212
199	42504	0
